[COT 2023-12-17 14:57:31] 76561199407766611: Set GodMode To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2023-12-17 14:57:32] 76561199407766611: Set UnlimitedAmmo To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2023-12-17 14:57:32] 76561199407766611: Set UnlimitedStamina To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2023-12-17 14:57:42] 76561199407766611: Teleported to position <6869.208008, 15.245127, 11329.211914>
[COT 2023-12-17 14:58:41] 76561199407766611: Entered the Free Camera
[COT 2023-12-17 14:58:53] 76561199407766611: Left the Free Camera
[COT 2023-12-17 14:59:4s] 76561199407766611: Spawned Entity Flag Pole Kit (TerritoryFlagKit<3d975350>, 100, 200, 0) at <6739.446289, 44.283039, 11380.729492>
[COT 2023-12-17 15:26:3s] 76561199407766611: Spawned Entity Nails (Nail<3b97ff20>, 99, 80, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:3s] 76561199407766611: Spawned Entity Nails (Nail<4098f480>, 99, 80, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:3s] 76561199407766611: Spawned Entity Nails (Nail<409a5fe0>, 99, 80, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:3s] 76561199407766611: Spawned Entity Nails (Nail<310d8c10>, 99, 80, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:4s] 76561199407766611: Spawned Entity Nails (Nail<310f43f0>, 99, 80, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:8s] 76561199407766611: Spawned Entity Metal Wire (MetalWire<3c422bd0>, 99, 500, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:8s] 76561199407766611: Spawned Entity Metal Wire (MetalWire<3c420590>, 99, 500, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:8s] 76561199407766611: Spawned Entity Metal Wire (MetalWire<3c42a820>, 99, 500, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:8s] 76561199407766611: Spawned Entity Metal Wire (MetalWire<2c466d00>, 99, 500, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:8s] 76561199407766611: Spawned Entity Metal Wire (MetalWire<2c47ced0>, 99, 500, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:13] 76561199407766611: Spawned Entity Plank (WoodenPlank<3e1e9ac0>, 10, 100, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:13] 76561199407766611: Spawned Entity Plank (WoodenPlank<3e1fd650>, 10, 100, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:14] 76561199407766611: Spawned Entity Plank (WoodenPlank<3e1f76b0>, 10, 100, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:14] 76561199407766611: Spawned Entity Plank (WoodenPlank<3e1ffc90>, 10, 100, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:14] 76561199407766611: Spawned Entity Plank (WoodenPlank<3c012270>, 10, 100, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:26:36] 76561199407766611: Spawned Entity Hatchet (Hatchet<42d649f0>, 100, 150, 0) at <6734.133301, 34.127132, 11376.089844>
[COT 2023-12-17 15:27:35] 76561199407766611: Spawned Entity Pliers (Pliers<439ebaf0>, 100, 100, 0) at <6733.930176, 34.127266, 11377.010742>
[COT 2023-12-17 15:29:20] 76561199407766611: Spawned Entity Fence (Fence<22581f10>, 100, 100, 0) at <6734.261719, 34.127033, 11373.367188>
[COT 2023-12-17 15:29:21] 76561199407766611: Spawned Entity Fence (Fence<22583330>, 100, 100, 0) at <6734.261719, 34.127033, 11373.367188>
[COT 2023-12-17 15:29:21] 76561199407766611: Spawned Entity Fence Kit (FenceKit<30ebfb10>, 100, 200, 0) at <6734.261719, 34.127033, 11373.367188>
[COT 2023-12-17 15:29:22] 76561199407766611: Spawned Entity Fence Kit (FenceKit<423dfc70>, 100, 200, 0) at <6734.261719, 34.127033, 11373.367188>
[COT 2023-12-17 15:29:26] 76561199407766611: Deleted Entity Fence:4766 at <6734.261719, 34.176243, 11373.367188>
[COT 2023-12-17 15:29:28] 76561199407766611: Deleted Entity Fence:7680 at <6734.261719, 34.176243, 11373.367188>
[COT 2023-12-17 15:30:43] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<30eb6210>, 1, 500, 0) at <6733.916992, 37.527298, 11375.212891>
[COT 2023-12-17 15:30:43] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<30eaf8e0>, 1, 500, 0) at <6733.916992, 37.527298, 11375.212891>
[COT 2023-12-17 15:33:24] 76561199407766611: Spawned Entity Anadyr province map (ChernarusMap<2c47bbb0>, 100, 50, 0) at <6727.978516, 51.131760, 11381.514648>
